,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement,cylinders,bore,stroke,valves per cylinder,spark plugs,gear shifting pattern,clutch,fuel tank capacity,mileage - arai,mileage - owner reported,top speed,braking system,front brake type,front brake size,rear tyre size,tyre type,radial tyres,rear brake type,rear brake size,wheel type,front wheel size,rear wheel size,front tyre size,front tyre pressure (rider),rear tyre pressure (rider),front tyre pressure (rider & pillion),rear tyre pressure (rider & pillion),kerb weight,overall length,overall width,wheelbase,ground clearance,seat height,overall height,chassis type
0,Royal Enfield Hunter 350,Royal Enfield,149900,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,72,85.8,2,1 per cylinder,1 down 4 up,wet multiplate,13,36,36,114,single channel abs,disc,300,120/80 - 17,tubed,no,drum,153,spoke,17,17,100/80 - 17,29,32,29,33,177,2055,800,1370,150,790,1055,double-downtube frame
1,Royal Enfield Classic 350,Royal Enfield,190229,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,72,85.8,2,1 per cylinder,1 down 4 up,wet multiplate,13,nan,35,114,single channel abs,disc,300,120/80 - 18,tubed,no,disc,270,spoke,19,18,100/90 - 19,20,30,22,32,195,2145,785,1390,170,805,1090,twin downtube spine frame
2,Royal Enfield Bullet 350,Royal Enfield,157391,19.1,28,air cooled,5 speed manual,chain drive,346,1,70,90,1,2 per cylinder,1 down 4 up,wet multiplate,13.5,nan,38,110,single channel abs,disc,280,3.25 x 19 - 60p,tubed,no,drum,153,spoke,19,19,3.25 x 19 - 54p,20,30,22,32,186,2170,810,1395,135,800,1120,"single downtube,using engine as stressed member"
3,Royal Enfield Continental GT 650,Royal Enfield,304945,47,52,air/oil cooled,6 speed manual,chain drive,648,2,78,67.8,2,1 per cylinder,1 down 5 up,assist and slipper clutch,12.5,nan,25,169,dual channel abs,disc,320,130/70 - 18,tubed,no,disc,240,spoke,18,18,100/90 - 18,32,36,32,39,198,2122,744,1398,174,793,1024,"steel tubular, double cradle frame"
4,Royal Enfield Meteor 350,Royal Enfield,200924,20.2,27,air/oil cooled,5 speed manual,chain drive,349,1,72,85.8,2,1 per cylinder,1 down 4 up,wet multiplate,15,nan,35,112,dual channel abs,disc,300,140/70 - 17,tubeless,yes,disc,270,alloy,19,17,100/90 - 19,32,32,32,36,191,2140,845,1400,170,765,1140,twin downtube spine frame
5,Royal Enfield Himalayan,Royal Enfield,215869,24.3,32,air cooled,5 speed manual,chain drive,411,1,78,86,2,1 per cylinder,1 down 4 up,wet multiplate,15,nan,30,120,switchable abs,disc,300,120/90 - 17,tubed,no,disc,240,spoke,21,17,90/90 - 21,25,32,27,34,199,2190,840,1465,220,800,1370,half-duplex split cradle frame
6,Royal Enfield Interceptor 650,Royal Enfield,288141,47,52,air/oil cooled,6 speed manual,chain drive,648,2,78,67.8,4,1 per cylinder,1 down 5 up,assist and slipper clutch,13.7,nan,23,169,dual channel abs,disc,320,130/70 - 18,tubed,no,disc,240,spoke,18,18,100/90 - 18,32,36,32,39,202,2122,789,1400,174,804,1165,steel tubular double cradle
7,Royal Enfield Scram 411,Royal Enfield,202923,24.3,32,air cooled,5 speed manual,chain drive,411,1,78,86,2,1 per cylinder,1 down 4 up,wet multiplate,15,nan,29,138,dual channel abs,disc,300,120/90 - 17,tubed,no,disc,240,spoke,19,17,100/90 - 19,25,32,27,34,185,2160,840,1455,200,795,1165,half-duplex split cradle frame
8,TVS Raider 125,TVS,90524,11.2,11.2,air/oil cooled,5 speed manual,chain drive,124.8,1,53.5,55.5,3,1 per cylinder,1 down 4 up,wet multiplate,10,nan,57,99,sbt,drum,130,100/90 - 17,tubeless,no,drum,130,alloy,17,17,80/100 - 17,25,28,25,32,123,2070,785,1326,180,780,1028,single cradle tubular frame
9,Apache,TVS,118381,15.31,13.9,air cooled,5 speed manual,chain drive,159.7,1,62,52.9,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,45,107,single channel abs,disc,270,110/80 - 17,tubeless,yes,drum,130,alloy,17,17,90/90 - 17,25,28,25,32,139,2085,730,1300,180,790,1105,double cradle synchro stiff
10,Apache,TVS,122410,17.31,14.73,oil cooled,5 speed manual,chain drive,159.7,1,62,52.9,4,1 per cylinder,1 down 4 up,wet multiplate,12,nan,45,114,single channel abs,disc,270,110/80 - 17,tubeless,no,drum,130,alloy,17,17,90/90 - 17,25,28,25,32,144,2035,790,1357,180,800,1050,double cradle split synchro stiff
11,TVS Ronin,TVS,149000,20.1,19.93,oil cooled,5 speed manual,chain drive,225.9,1,66,66,4,1 per cylinder,1 down 4 up,assist and slipper clutch,14,nan,40,120,single channel abs,disc,300,130/70 - 17,tubeless,no,disc,240,alloy,17,17,110/70 - 17,25,28,25,32,159,2040,805,1357,181,795,1170,double cradle frame
12,TVS Ntorq 125,TVS,85995,9.25,10.5,air cooled,automatic,cvt,124.8,1,53.5,55.5,3,1 per cylinder,automatic,automatic,5.8,nan,40,95,sbt,drum,130,110/80 - 12,tubeless,no,drum,130,alloy,12,12,100/80 - 12,24,28,24,36,118,1861,710,1285,155,770,1164,high rigidity under bone rectangular tube type
13,TVS Sport,TVS,61577,8.18,8.7,air cooled,4 speed manual,chain drive,109.7,1,53.5,48.8,2,1 per cylinder,all 4 up,wet multiplate,10,nan,70,90,sbt,drum,130,"3.0 x 17"" 50p",tubed,no,drum,110,alloy,17,17,"2.75 x 17"" 41p",25,32,25,36,110,1950,705,1236,175,790,1080,single cradle tubular
14,Apache,TVS,264987,33.5,27.3,liquid cooled,6 speed manual,chain drive,312.2,1,80,62.1,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,11,nan,30.5,160,dual channel abs,disc,300,150/60 - zr17,tubeless,yes,disc,240,alloy,17,17,110/70 - zr17,32,32,32,32,174,2001,786,1365,180,810,1135,"trellis frame, split chassis"
15,Apache,TVS,141058,20.54,17.25,oil cooled,5 speed manual,chain drive,197.75,1,66,57.8,4,1 per cylinder,1 down 4 up,wet multiplate with assist and slipper clutch,12,nan,39,127,single channel abs,disc,270,130/70 - 17,tubeless,yes,disc,240,alloy,17,17,90/90 - 17,25,28,25,32,152,2050,790,1353,180,800,1050,double cradle split synchro stiff frame
16,TVS Jupiter,TVS,76461,7.77,8.8,air cooled,automatic,cvt,109.7,1,53.5,48.8,2,1 per cylinder,automatic,automatic,6,nan,50,78,sbt,drum,130,90/90 - 12,tubeless,no,drum,130,alloy,12,12,90/90 - 12,24,28,24,32,107,1834,650,1275,163,765,1115,high rigidity underbone type
17,TVS Jupiter 125,TVS,84568,8.04,10.5,air cooled,automatic,cvt,124.8,1,53.5,55.5,2,1 per cylinder,automatic,automatic,5.1,nan,49,95,sbt,drum,130,90/90 - 12,tubed,no,drum,130,steel,12,12,90/90 - 12,24,32,24,36,108,1852,681,1275,163,765,1168,high rigidity underbone type
18,Apache,TVS,121725,16.56,15.5,oil cooled,5 speed manual,chain drive,177.4,1,62,58,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,42,113,single channel abs,disc,270,110/80 - 17,tubeless,yes,disc,200,alloy,17,17,90/90 - 17,25,28,25,32,141,2085,730,1326,170,790,1105,double cradle synchro stiff
19,TVS Star City Plus,TVS,73481,8.08,8.7,air cooled,4 speed manual,chain drive,109.7,1,53.5,48.8,2,1 per cylinder,all 4 up,wet multiplate,10,nan,68,90,sbt,drum,130,"3.0 x 17"" 50p",tubeless,no,drum,110,alloy,17,17,"2.75 x 17"" 41p",25,32,25,36,115,1984,750,1260,172,785,1080,single cradle tubular frame
20,TVS Radeon,TVS,71674,8.08,8.7,air cooled,4 speed manual,chain drive,109.7,1,53.5,48.8,2,1 per cylinder,all 4 up,wet multiplate,10,nan,65,90,sbt,drum,130,3.00 x 18,tubeless,no,drum,110,alloy,18,18,2.75 x 18,25,32,25,36,116,2025,705,1265,180,780,1080,single cradle tubular frame
21,TVS Scooty Pep Plus,TVS,64580,5.36,6.5,air cooled,automatic,cvt,87.8,1,51,43,2,1 per cylinder,automatic,automatic,4.2,nan,50,66,sbt,drum,110,3.00 - 10 4pr,tubeless,no,drum,110,alloy,10,10,3.00 - 10 4pr,24,29,24,32,93,1735,590,1230,135,768,1065,tubular
22,TVS XL100 Heavy Duty,TVS,47140,4.3,6.5,air cooled,automatic,cvt,99.7,1,51,48.8,1,1 per cylinder,automatic,automatic,4,nan,55,58,sbt,drum,110,2.50 - 16 41l,tubed,no,drum,110,spoke,16,16,2.50 - 16 41l,25,35,25,40,88,1895,670,1228,158,787,1077,welded tubular step through construction
23,TVS Scooty Zest 110,TVS,75471,7.71,8.8,air cooled,automatic,cvt,109.7,1,53.5,48.8,2,1 per cylinder,automatic,automatic,5,nan,45,80,sbt,drum,110,90/90 - 10,tubeless,no,drum,130,steel,10,10,90/100 - 10,24,28,24,32,103,1770,660,1250,150,760,1139,duplex tubular frame
24,TVS XL100 Comfort,TVS,45648,4.3,6.5,air cooled,automatic,cvt,99.7,1,51,48.8,1,1 per cylinder,automatic,automatic,4,nan,51.5,58,sbt,drum,110,2.50 - 16 41l,tubed,no,drum,110,spoke,16,16,2.50 - 16 41l,25,35,25,40,86,1895,670,1228,158,781,1077,welded tubular step through construction
25,Splendor,Hero,71571,7.91,8.05,air cooled,4 speed manual,chain drive,97.2,1,50,49.5,2,1 per cylinder,all 4 up,wet multiplate,9.8,nan,60,87,ibs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,28,25,41,112,2000,720,1236,165,785,1052,tubular double cradle
26,Hero Splendor Plus Xtec,Hero,76381,7.9,8.05,air cooled,4 speed manual,chain drive,97.2,1,50,49.5,2,1 per cylinder,all 4 up,wet multiplate,9.8,nan,60,87,ibs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,28,25,41,112,2000,720,1236,165,785,1052,tubular double cradle
27,Hero HF Deluxe,Hero,60163,7.91,8.05,air cooled,4 speed manual,chain drive,97.2,1,50,49.5,2,1 per cylinder,all 4 up,wet multiplate,9.6,nan,65,85,ibs,drum,130,2.75 x 18 - 6pr/48p,tubeless,no,drum,130,alloy,18,18,2.75 x 18 - 4pr/42p,25,28,25,41,110,1965,720,1235,165,805,1045,tubular double cradle
28,Splendor,Hero,78627,10.72,10.6,air cooled,5 speed manual,chain drive,124.7,1,52.4,57.8,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,55,90,ibs,drum,130,90/90 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,28,25,41,122,2042,740,1273,180,799,1102,tubular diamond frame
29,Hero Xtreme 160R,Hero,119570,15,14,air cooled,5 speed manual,chain drive,163,1,57.3,63.3,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,46,107,single channel abs,disc,276,130/70 - r17,tubeless,yes,drum,130,alloy,17,17,100/80 - 17,25,28,25,30,138.5,2029,793,1327,167,790,1052,tubular diamond
30,Hero Glamour,Hero,79029,10.72,10.6,air cooled,5 speed manual,chain drive,124.7,1,52.4,57.8,2,1 per cylinder,1 down 4 up,wet multiplate,10,nan,55,95,ibs,drum,130,100/80 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,29,25,33,122,2051,720,1273,180,793,1074,diamond
31,Hero Passion Pro,Hero,73432,9.02,9.89,air cooled,4 speed manual,chain drive,110,1,50,57.8,2,1 per cylinder,all 4 up,wet multiplate,10,nan,55,90,ibs,drum,130,80/100 - 18,tubed,no,drum,130,alloy,18,18,80/100 - 18,25,28,25,41,117,2036,715,1270,180,799,1113,diamond
32,Hero Xpulse 200 4V,Hero,137436,18.8,17.35,oil cooled,5 speed manual,chain drive,199.6,1,66.5,57.5,4,1 per cylinder,1 down 4 up,wet multiplate,13,nan,40,115,single channel abs,disc,276,120/80 - 18,tubed,no,disc,220,spoke,21,18,90/91 - 21,25,33,25,36,158,2222,850,1410,220,825,1258,diamond type
33,Hero Pleasure +,Hero,68847,8,8.7,air cooled,automatic,cvt,110.9,1,50,56.5,2,1 per cylinder,automatic,automatic,4.8,nan,50,75,ibs,drum,130,90/100 - 10,tubeless,no,drum,130,steel,10,10,90/100 - 10,22,29,22,36,104,1769,704,1238,155,765,1161,high rigidity under bone type
34,Hero Passion Xtec,Hero,80746,9,9.79,air cooled,4 speed manual,chain drive,110,1,50,57.8,2,1 per cylinder,all 4 up,wet multiplate,10,nan,59,90,ibs,disc,240,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,28,25,41,118,2036,739,1270,180,799,1113,diamond
35,Hero Glamour Xtec,Hero,91033,10.72,10.6,air cooled,5 speed manual,chain drive,124.7,1,52.4,57.8,2,1 per cylinder,1 down 4 up,wet multiplate,10,nan,50,95,ibs,disc,240,100/80 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,29,25,33,123,2051,743,1273,180,793,1074,diamond
